id,title,genre,plot,imdbRating,Year,Country,Language
375,Safe Passage (1994),Drama,A mother with seven sons feels like she's losing control of her life and her family. But personal pain and a troubled marriage fade into the background as news comes that one of her sons ...,6.4,1994,USA,English
376,"River Wild, The (1994)",Action|Thriller,Rafting expert Gail takes on a pair of armed killers while navigating a spectacularly violent river.,6.3,1994,USA,"English, American Sign Language"
377,Speed (1994),Action|Romance|Thriller,A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.,7.2,1994,USA,English
378,Speechless (1994),Comedy|Romance,Two political speechwriters fall in love before they find out they are working for candidates on opposite sides.,5.7,1994,USA,English
379,Timecop (1994),Action|Sci-Fi,"Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.",5.8,1994,"Canada, USA, Japan",English
380,True Lies (1994),Action|Adventure|Comedy|Romance,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman.",7.2,1994,USA,"English, French, Arabic, German"
381,When a Man Loves a Woman (1994),Drama,"An airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. While the woman enters detox, her husband must face the truth of his enabling behavior.",6.5,1994,USA,"English, Vietnamese"
382,Wolf (1994),Drama|Horror,Publisher Will Randall becomes a werewolf and has to fight to keep his job.,6.2,1994,USA,"English, Spanish"
383,Wyatt Earp (1994),Western,Wyatt Earp is a movie about a man and his family. The movie shows us the good times and the bad times of one of the West's most famous individuals.,6.6,1994,USA,"English, Spanish"
384,Bad Company (1995),Action,"Nelson Crowe is a CIA operative under the thumb of the Company for a disputed delivery of $50,000 in gold. They blackmail him into working for the Grimes Organization, which is set up as a ...",5.4,1995,USA,English
385,"Man of No Importance, A (1994)",Drama,"Alfie Byrne is a middle-aged bus conductor in Dublin in 1963. He would appear to live a life of quiet desperation: he's gay, but firmly closeted, and his sister is always trying to find him...",6.9,1994,"Ireland, UK",English
386,S.F.W. (1994),Drama,An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,5.9,1994,USA,English
387,"Low Down Dirty Shame, A (1994)",Action|Comedy,"A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money.During the course of his investigation, he encounters various old connections, ...",5.8,1994,USA,English
388,Boys Life (1995),Drama,An eccentric single mother tries to raise her young teenage son.,7.4,2006–,USA,English
389,"Colonel Chabert, Le (1994)",Drama|Romance|War,Colonel Chabert has been severely wounded in the French-Russian Napoleonic war to the point that the medical examiner has signed his death certificate. When he regains his health and memory...,7.0,1994,France,French
390,Faster Pussycat! Kill! Kill! (1965),Action|Comedy|Drama,"Three go-go dancers holding a young girl hostage come across a crippled old man living with his two sons in the desert. After learning he's hiding a sum of cash around, the women start scheming on him.",6.8,1965,USA,English
391,Jason's Lyric (1994),Crime|Drama,"The story of a young man, Jason (Allen Payne) who must confront his trauma-induced insecurity about love, as well as a sense of owed responsibility to his mother and troubled brother Joshua...",6.6,1994,USA,English
392,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Children's,A boy born the size of a small doll is kidnapped by a genetic lab and must find a way back to his father in this inventive adventure filmed using stop motion animation techniques. Tom meets...,7.4,1993,UK,English
393,Street Fighter (1994),Action,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,3.8,1994,"Japan, USA","English, Japanese, Esperanto"
394,Coldblooded (1995),Action,A bookie is promoted to Hitman and seemingly excels at his new found job.,6.8,1995,USA,English
395,Desert Winds (1995),Drama,"Jackie and Eugene are joined by a mystical wind tunnel which enables them to speak across a 500-mile desert. Believed by the Indians to be an omen of good luck, the wind inspires both ...",5.8,1994,USA,English
396,Fall Time (1995),Drama,"Three young men decide to plan a mock kidnapping, but everything goes wrong because a real bank robbery was already planned by two other guys.",5.5,1995,USA,English
397,"Fear, The (1995)",Horror,"A weekend group goes to a remote cabin for ""fear therapy"". While each person is working to conquer their worst fears, they all become terrorized by a living monster made of wood which ...",3.4,1995,USA,English
398,Frank and Ollie (1995),Documentary,"A documentary about two famed Disney animators, Frank and Ollie.",8.0,1995,USA,English
399,Girl in the Cadillac (1995),Drama,"A runaway meets up with a young man in the bus station who leads her to a rendezvous with two others who are planning a bank robbery. She is convinced to drive the getaway car for $5,000 ...",6.2,1995,USA,English
400,Homage (1995),Drama,"In New Mexico, the widow and former teacher Katherine Samuel reluctantly hires the lonely mathematician and genius Archie Landrum to be her gardener and soon they become good friends. When ...",5.9,1995,USA,English
401,Mirage (1995),Action|Thriller,Matteo Juarez is a retired detective hired by a local businessman to follow his wife Jennifer. She has a split personality and seems to be putting herself in danger without knowing it.,5.1,1995,USA,English
402,Open Season (1996),Comedy,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.",6.2,2006,USA,English
403,Two Crimes (1995),Comedy|Crime|Drama,,,,,
404,Brother Minister: The Assassination of Malcolm X (1994),Documentary,"Brother Minister reveals the mystery surrounding the assassination of Malcolm X at the Audubon Ballroom in New York City on February 21, 1965. It probes the innocence of two of the ...",7.3,1994,USA,English
405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,N/A,6.6,1997,Germany,German
406,Federal Hill (1994),Drama,"In Providence's Italian neighborhood, Federal Hill, five young men face their choices as they become adults. Bobby, who's sort of dim, owes $30,000 to a counterfeiter who's demanding ...",6.3,1994,USA,English
407,In the Mouth of Madness (1995),Horror|Thriller,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,7.2,1994,USA,English
408,8 Seconds (1994),Drama,"This film chronicles the life of Lane Frost, 1987 PRCA Bull Riding World Champion, his marriage and his friendships with Tuff Hedeman (three-time World Champion) and Cody Lambert.",6.5,1994,USA,English
409,Above the Rim (1994),Drama,"Story of a promising high school basketball star and his relationships with two brothers, one a drug dealer and the other a former basketball star fallen on hard times and now employed as a security guard.",6.6,1994,USA,English
410,Addams Family Values (1993),Comedy,A comical Gothic horror-movie-type family tries to rescue their beloved uncle from his gold-digging new love.,6.6,1993,USA,English
411,You So Crazy (1994),Comedy,"Stand up comedy by Martin Lawrence, filmed in the Majestic Theater in New York City. Martin Lawrence talks about everything from racism, to relationships, to his childhood.",6.7,1994,USA,English
412,"Age of Innocence, The (1993)",Drama,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",7.2,1993,USA,"English, Italian"
413,Airheads (1994),Comedy,Three band members hoping for a big break head to a radio station to play their demo tape and wind up holding everyone hostage with plastic guns when the head DJ refuses to play them.,6.1,1994,USA,English
414,"Air Up There, The (1994)",Comedy,"Jimmy Dolan is a college basketball coach who wants a big promotion. To get it, he needs to make a dramatic find. He ends up deep in Africa, hoping to recruit Saleh, a huge basketball ...",5.5,1994,USA,English
415,Another Stakeout (1993),Comedy|Thriller,Prankster cops Chris and Bill are joined by a Gina from the DA's office to stakeout a lakeside home.,5.5,1993,USA,English
416,Bad Girls (1994),Western,Four prostitutes join together to travel the Old West.,5.1,1994,USA,"English, Spanish"
417,Barcelona (1994),Comedy|Romance,"Ted, a stuffy white guy from Illinois working in sales for the Barcelona office of a US corporation, is paid an unexpected visit by his somewhat less stuffy cousin Fred, who is an officer ...",7.0,1994,USA,"English, Spanish"
418,Being Human (1993),Drama,"Three twenty-somethings share a house and try to live a normal life despite being a ghost, a werewolf, and a vampire.",7.5,2011–2014,"Canada, USA",English
419,"Beverly Hillbillies, The (1993)",Comedy,"A feature adaptation of the classic TV show, when nice guy redneck Jed Clampett strikes it rich when he finds black oil, and moves he and his kin to posh Beverly Hills.",4.8,1993,USA,English
420,Beverly Hills Cop III (1994),Action|Comedy,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who shot his boss are running a counterfeit money ring out of a theme park in Los Angeles.",5.5,1994,USA,English
421,Black Beauty (1994),Adventure|Children's,"The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",6.6,1994,"USA, UK",English
422,Blink (1994),Thriller,"Emma is a blind violinist who finally gets the opportunity to see. Meanwhile, a string of bizarre rapes and murders has taken place. All of the victims have had transplants within the last month. A coincidence, or is Emma next?",6.2,1993,USA,English
423,Blown Away (1994),Action|Thriller,An Irish bomber escapes from prison and targets a member of the Boston bomb squad.,6.2,1994,USA,"English, Irish"
424,Blue Chips (1994),Drama,A college basketball coach is forced to break the rules in order to get the players he needs to stay competitive.,6.1,1994,USA,English
425,Blue Sky (1994),Drama|Romance,"Jessica Lange stars in a period drama about a family moving to a military base, and she quickly becomes part of a cover-up involving nuclear bomb tests.",6.4,1994,USA,"English, French"
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller,A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,5.9,1993,USA,English
427,Boxing Helena (1993),Mystery|Romance|Thriller,"A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.",4.6,1993,USA,English
428,"Bronx Tale, A (1993)",Drama,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,7.8,1993,USA,"English, Italian"
429,Cabin Boy (1994),Comedy,A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,5.1,1994,USA,English
430,Calendar Girl (1993),Drama,"Three young men go on an end of the summer trip to Hollywood, CA. Their quest: to fulfill the fantasy of meeting Marilyn Monroe.",5.0,1993,USA,English
431,Carlito's Way (1993),Crime|Drama,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",7.9,1993,USA,"English, Spanish"
432,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,"Shortly after their first western adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and set out to discover its secrets.",5.4,1994,USA,English
433,Clean Slate (1994),Comedy,A private eye who suffers total amnesia every 24h is deeply entangled in a complicated murder/theft case.,5.6,1994,USA,English
434,Cliffhanger (1993),Action|Adventure|Crime,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,6.4,1993,"USA, Italy, France",English
435,Coneheads (1993),Comedy|Sci-Fi,Aliens with conical crania crash-land on Earth.,5.2,1993,USA,English
436,Color of Night (1994),Drama|Thriller,"A color-blind psychiatrist Bill Capa is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that Capa begins having intense sexual encounters with.",5.1,1994,USA,English
437,Cops and Robbersons (1994),Comedy,"When police discover that a mob hitman has moved in next door to the Robbersons, they want to find out what he is up to. So they set up a stakeout in the Robbersons' home. Hard-nosed, ...",5.0,1994,USA,English
438,"Cowboy Way, The (1994)",Action|Comedy,"Buddies Pepper Lewis (Woody Harrelson) and Sonny Gilstrap (Kiefer Sutherland) who are championship rodeo partners travel to New York to find their missing friend, Nacho Salazar Joaquín ...",5.8,1994,USA,English
439,Dangerous Game (1993),Drama,"A New York film director, working on his latest movie in Los Angeles, begins to reflect the actions in his movie and real life, especially when he begins an affair with the lead actress.",5.7,1993,"Italy, USA",English
440,Dave (1993),Comedy|Romance,"To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place.",6.8,1993,USA,"English, Spanish"
441,Dazed and Confused (1993),Comedy,The adventures of high school and junior high students on the last day of school in May 1976.,7.7,1993,USA,English
442,Demolition Man (1993),Action|Sci-Fi,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,6.6,1993,USA,English
443,"Endless Summer 2, The (1994)",Documentary,"Bruce Brown, king of surfing documentaries, returns after nearly thirty years to trace the steps of two young surfers to top surfing spots around the world. Along the way we see many of the...",7.6,1994,USA,English
444,Even Cowgirls Get the Blues (1993),Comedy|Romance,Sissy Hankshaw is born with enormous thumbs that help her hitchhiking through the US from a young age. She becomes a model in advertising and her NY agent 'the Countess' sends her to his ...,4.3,1993,USA,"English, German"
445,Fatal Instinct (1993),Comedy,"A spoof of the late 80s and early 90s suspense thrillers and murder mysteries, including Basic Instinct, Sleeping With The Enemy, Cape Fear and others. A cop/attorney (yes he's both) is ...",5.7,1993,USA,"English, Yiddish"
446,Farewell My Concubine (1993),Drama|Romance,"The story of two men, who met as apprentices in the Peking Opera, and stayed friends for over 50 years.",8.1,1993,"China, Hong Kong",Mandarin
447,"Favor, The (1994)",Comedy|Romance,"Kathy is married to Peter. Now she can't help but wonder how things could have been if she got together with her old boyfriend, Tom. Being married prevents from doing that so she asks her ...",5.2,1994,USA,English
448,Fearless (1993),Drama,A man's personality is dramatically changed after surviving a major airline crash.,7.1,1993,USA,English
449,Fear of a Black Hat (1993),Comedy,"A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.",7.2,1993,"USA, UK",English
450,With Honors (1994),Comedy|Drama,"Convinced his thesis will have him graduate with honors from Harvard University, a stuffy student finds himself at the mercy of a homeless man's demands when he holds the papers hostage.",6.7,1994,USA,English
451,Flesh and Bone (1993),Drama|Mystery|Romance,"Some thirty years after Arlis witnesses his father murdering a family, he runs into Kay, who happens to be the family's baby who was spared. Kay and Arlis suspect nothing about each other, ...",6.2,1993,USA,English
452,Widows' Peak (1994),Drama,"Edwina has just moved into the neighborhood known as ""Widows' Peak,"" so called due to the prevalent marital status of the residents, who tend to be a rather exclusive bunch. The residents ...",6.8,1994,"UK, Ireland","Irish, English"
453,For Love or Money (1993),Comedy,"Doug is a young man who works all day as a concierge at a luxurious hotel, saving money to make his own business. Unfortunately, when he finds the financial supporter he needs, he discovers...",6.1,1993,USA,English
454,"Firm, The (1993)",Drama|Thriller,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,6.8,1993,USA,English
455,Free Willy (1993),Adventure|Children's|Drama,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",5.9,1993,"USA, France",English
456,Fresh (1994),Drama,"Death and violence anger a 12-year-old drug courier, who puts his employer's against each other.",7.7,1994,"USA, France",English
457,"Fugitive, The (1993)",Action|Thriller,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt.",7.8,1993,USA,"English, Polish, Spanish"
458,Geronimo: An American Legend (1993),Drama|Western,This story of epic courage and grace is a remarkable window on Native American life and the early years of the last and most feared Apache War Chief.,6.4,1993,USA,English
459,"Getaway, The (1994)",Action,"Doc McCoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. Doc knows Jack Benyon, a rich ""business""-man, is up ...",5.7,1994,"USA, Japan",English
460,Getting Even with Dad (1994),Comedy,A thief's son cons his father into spending more time with him.,4.6,1994,USA,English
461,Go Fish (1994),Drama|Romance,"Max is a trendy, pretty, young lesbian, who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in ...",5.6,1994,USA,English
462,"Good Man in Africa, A (1994)",Action|Adventure,"Politics are already strained between English imperialists and the West African government of Kinjanja, when womanizing British diplomat Morgan Leafy (Colin Friels) is caught in bed with ...",5.0,1994,"South Africa, USA",English
463,Guilty as Sin (1993),Crime|Drama|Thriller,"A female lawyer takes an accused wife-murderer as a client, but finds herself morally compelled to betray him one way or another.",5.6,1993,USA,English
464,Hard Target (1993),Action|Adventure|Crime|Thriller,"A woman hires a drifter as her guide through New Orleans in search of her father, who has gone missing. They discover a deadly game of cat and mouse behind his disappearance in the process.",6.1,1993,USA,English
465,Heaven & Earth (1993),Action|Drama|War,N/A,6.6,1993,Federal Republic of Yugoslavia,Serbo-Croatian
466,Hot Shots! Part Deux (1993),Action|Comedy|War,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",6.6,1993,USA,English
467,Live Nude Girls (1995),Comedy,"Georgina throws a sleepover party for her friend Jamie, a moderately successful actress, on the night of Jamie's fiancée's bachelor party. Jill, Jamie, Marcy, Rachel, and Georgina have been...",5.4,1995,USA,English
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Comedy|Romance,"When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that.",6.6,1995,UK,English
469,"House of the Spirits, The (1993)",Drama|Romance,"A rancher, his clairvoyant wife and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.",6.9,1993,"Portugal, Germany, Denmark, USA, France","English, Spanish"
470,House Party 3 (1994),Comedy,"Come to a new House Party, where Kid, after a lifetime 'playing the field', falls in love and is about to get married. 'Play' plans to throw the rockin'est bachelor party ever - until '...",4.1,1994,USA,English
471,"Hudsucker Proxy, The (1994)",Comedy|Romance,A naive business graduate is installed as president of a manufacturing company as part of a stock scam.,7.3,1994,"UK, Germany, USA","English, Finnish"
472,I'll Do Anything (1994),Comedy|Drama,"Matt Hobbs is a talented but unsuccessful actor. When estranged (and strange) ex-wife Beth dumps their daughter Jeannie on Matt, father and daughter have a lot of adjusting to do. His ...",5.6,1994,USA,English
473,In the Army Now (1994),Comedy|War,Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.,4.8,1994,USA,English
474,In the Line of Fire (1993),Action|Thriller,"Secret Service agent Frank Horrigan couldn't save Kennedy, but he's determined not to let a clever assassin take out this president.",7.2,1993,USA,English
475,In the Name of the Father (1993),Drama,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,8.1,1993,"Ireland, UK, USA",English
476,"Inkwell, The (1994)",Comedy|Drama,"A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls.",6.5,1994,USA,English
477,What's Love Got to Do with It? (1993),Drama,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from abusive husband, Ike Turner.",7.2,1993,USA,English
478,Jimmy Hollywood (1994),Comedy,"Jimmy Alto is an actor wannabe who stumbles into the role of a lifetime. He becomes a vigilante crime-fighter, aided by his sidekick William, who has suffered a head wound and has problems ...",5.3,1994,USA,English
479,Judgment Night (1993),Action,"Four friends on their way to a boxing match get caught in heavy traffic, so they take a shortcut in order to get there faster, unfortunately it leads to them witnessing a murder which leaves them running for their lives.",6.6,1993,"USA, Japan",English
480,Jurassic Park (1993),Action|Adventure|Sci-Fi,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.",8.1,1993,USA,"English, Spanish"
481,Kalifornia (1993),Drama|Thriller,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",6.7,1993,USA,English
482,Killing Zoe (1994),Thriller,"Zed has only just arrived in the beautiful Paris and already he's up to no good. Having just slept with a call girl, he spends a night on the town with his dangerous friends. They all ...",6.5,1993,"France, USA","English, French"
483,King of the Hill (1993),Drama,A young boy struggles on his own in a run-down motel after his parents and younger brother are separated from him in 1930s Depression-era Midwest.,7.6,1993,USA,English
484,Lassie (1994),Adventure|Children's,"The dog everyone loves now leaps into the '90s in this all-new exciting, updated version of Lassie! Determined to start a new life in the country, the Turner Family - Dad, stepmom, little ...",5.9,1994,USA,English
485,Last Action Hero (1993),Action|Comedy,"With the help of a magic ticket, a young film fan is transported into the fictional world of his favorite action film character.",6.2,1993,USA,English
486,Life with Mikey (1993),Comedy,"Michael Chapman was once a child TV star. But when he grew up, he couldn't get work. So he and his brother, Ed start their own talent agency that specializes in child acts. They can't seem ...",5.5,1993,USA,English
487,Lightning Jack (1994),Comedy|Western,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how ...",5.4,1994,"USA, Australia",English
488,M. Butterfly (1993),Drama,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.",6.8,1993,USA,English
489,Made in America (1993),Comedy,"A young black woman discovers that her father was a sperm donor, and if that weren't bad enough, he's white.",4.9,1993,"USA, France",English
490,Malice (1993),Thriller,"A tale about a happily married couple who would like to have children. Tracy teaches art, Andy's a college dean. Things are never the same after she is taken to hospital and operated upon by Jed, a ""know all"" doctor.",6.4,1993,"Canada, USA",English
491,"Man Without a Face, The (1993)",Drama,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,6.7,1993,USA,English
492,Manhattan Murder Mystery (1993),Comedy|Mystery,A middle-aged couple suspects foul play when their neighbor's wife suddenly drops dead.,7.4,1993,USA,English
493,Menace II Society (1993),Action|Crime|Drama,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,7.5,1993,USA,English
494,Executive Decision (1996),Action|Thriller,"When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation.",6.4,1996,USA,English
495,In the Realm of the Senses (Ai no corrida) (1976),Drama,"A passionate telling of the story of Sada Abe, a woman whose affair with her master led to a sexual obsession which then came to a violent end.",6.6,1976,"Japan, France",Japanese
496,What Happened Was... (1994),Comedy|Drama|Romance,"This darkly humorous film explores the personal psychic landscape of two lonely New Yorkers. Jackie and Michael are coworkers at a large law firm, who decide to meet at Jackie's for dinner ...",7.1,1994,USA,English
497,Much Ado About Nothing (1993),Comedy|Romance,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",7.4,1993,"UK, USA",English
498,Mr. Jones (1993),Drama|Romance,"The story about the relationship between a manic depressive man, Mr. Jones, and the doctor who takes more than a professional interest in his treatment.",5.8,1993,USA,English
499,Mr. Wonderful (1993),Comedy|Romance,"Electrician Gus gets the chance to fulfill a childhood dream by buying an old bowling-alley with some of his friends. Unfortunately, due to the alimony payments he has to make to his ...",5.9,1993,USA,English
500,Mrs. Doubtfire (1993),Comedy,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",6.9,1993,USA,English
501,Naked (1993),Drama,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",7.9,1993,UK,English
502,"Next Karate Kid, The (1994)",Action|Children's,Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.,4.3,1994,USA,English
503,"New Age, The (1994)",Drama,"Episodic movie about a rich yuppie couple who, going broke, can't decide if they want to stay together and meanwhile openly sleep around and experiment with different lifestyles.",5.8,1994,USA,English
504,No Escape (1994),Action|Sci-Fi,A soldier convicted for murdering his commanding officer is dumped and left to die on a prison island inhabited by two camps of convicts.,6.1,1994,USA,English
505,North (1994),Comedy,"Sick of the neglect he receives from his mom and dad, a young boy leaves home and travels the world in search of new parents.",4.4,1994,USA,English
506,Orlando (1993),Drama,N/A,N/A,1993,France,Italian
507,"Perfect World, A (1993)",Action|Drama,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.",7.5,1993,USA,English
508,Philadelphia (1993),Drama,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",7.7,1993,USA,English
509,"Piano, The (1993)",Drama|Romance,"A mute woman is sent to 1850s New Zealand along with her young daughter and prized piano for an arranged marriage to a wealthy landowner, but is soon lusted after by a local worker on the plantation.",7.6,1993,"New Zealand, Australia, France","English, British Sign Language, Maori"
510,Poetic Justice (1993),Drama,"In this film, we see the world through the eyes of main character Justice, a young African-American poet. A mail carrier invites a few friends along for a long overnight delivery run.",5.9,1993,USA,English
511,"Program, The (1993)",Action|Drama,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",6.4,1993,USA,"English, German"
512,Robert A. Heinlein's The Puppet Masters (1994),Horror|Sci-Fi,,,,,
513,Radioland Murders (1994),Comedy|Mystery|Romance,"In 1939, WBN, a fourth radio network, is about to take to America's airwaves. As if the confusion of the premiere night wasn't enough, Penny Henderson, the owner's secretary, must deal with...",6.2,1994,USA,English
514,"Ref, The (1994)",Comedy,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",6.9,1994,USA,English
515,"Remains of the Day, The (1993)",Drama,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,7.9,1993,"USA, UK","English, French, German"
516,Renaissance Man (1994),Comedy|Drama|War,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,6.1,1994,USA,English
517,Rising Sun (1993),Action|Drama|Mystery,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the company's executives and the investigating cop Tom Graham.",6.2,1993,USA,"English, Japanese"
518,"Road to Wellville, The (1994)",Comedy,"A story about the ins and outs of one unusual health facility in the early 20th century, run by the eccentric Dr. Kellogg.",5.7,1994,USA,English
519,Robocop 3 (1993),Sci-Fi|Thriller,"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.",3.9,1993,USA,"English, Japanese"
520,Robin Hood: Men in Tights (1993),Comedy,A spoof of Robin Hood in general and Robin Hood: Prince of Thieves (1991) in particular.,6.7,1993,"France, USA",English
521,Romeo Is Bleeding (1993),Crime|Thriller,"A womanizing, crooked cop on the payroll of the mafia is confronted with the reality of his double life after he is asked to kill a beautiful and ruthless Russian gangster.",6.6,1993,"UK, USA",English
522,Romper Stomper (1992),Action|Drama,A group of skinheads become alarmed at the way their neighbourhood is changing.,6.8,1992,Australia,"English, Vietnamese, German, Japanese, Portuguese"
523,Ruby in Paradise (1993),Drama,"Ruby, a young woman, arrives in a Florida resort town during the off season to make a fresh start. She gets work as a sales clerk in a souvineer shop run by Mildred Chambers. She dates, and...",7.1,1993,USA,English
524,Rudy (1993),Drama,Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,7.5,1993,USA,"English, Spanish"
525,"Saint of Fort Washington, The (1993)",Drama,"Matthew, a young schizophrenic, finds himself out on the street when a slumlord tears down his apartment building. Soon, he finds himself in even more dire straits, when he is threatened by...",7.2,1993,USA,English
526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura does he come to realize his bisexuality. Jean has to overcome a personal crisis (he is ...",7.1,1992,"France, Italy","French, Spanish"
527,Schindler's List (1993),Drama|War,"In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.",8.9,1993,USA,"English, Hebrew, German, Polish"
528,"Scout, The (1994)",Drama,The story of a baseball scout who discovers a talented but troubled baseball player.,5.3,1994,USA,English
529,Searching for Bobby Fischer (1993),Drama,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,7.5,1993,USA,English
530,Second Best (1994),Drama,"Graham, a lonely Welsh postal worker, adopts James, a troubled ten-year-old boy. Graham always wanted a son, but James loves his biological father too much to give Graham a chance. Will the two be able to accept each other as family?",7.1,1994,"UK, USA",English
531,"Secret Garden, The (1993)",Children's|Drama,A young British girl born and raised in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's estate. Her uncle is very distant due to the ...,7.3,1993,USA,English
532,Serial Mom (1994),Comedy|Crime|Horror,A sweet mother takes a little too much at heart for the defense of her family.,6.7,1994,USA,English
533,"Shadow, The (1994)",Action,"In 1930s New York City, the Shadow battles his nemesis, Shiwan Khan, who is building an atomic bomb.",6.0,1994,USA,English
